"pridelek";"Regija";"leto";"Kolicina"
"Rž";"Jugovzhodna Slovenija";"2019";2,2
"Rž";"Osrednjeslovenska";"2010";4,1
"Rž";"Osrednjeslovenska";"2011";3,6
"Rž";"Osrednjeslovenska";"2012";3,1
"Rž";"Osrednjeslovenska";"2013";3,3
"Rž";"Osrednjeslovenska";"2014";4
"Rž";"Osrednjeslovenska";"2015";3,4
"Rž";"Osrednjeslovenska";"2016";3,8
"Rž";"Osrednjeslovenska";"2017";3,5
"Rž";"Osrednjeslovenska";"2018";2,9
"Rž";"Osrednjeslovenska";"2019";3,1
"Rž";"Gorenjska";"2010";3,5
"Rž";"Gorenjska";"2011";3,8
"Rž";"Gorenjska";"2012";2,9
"Rž";"Gorenjska";"2013";3,9
"Rž";"Gorenjska";"2014";3,7
"Rž";"Gorenjska";"2015";3,9
"Rž";"Gorenjska";"2016";3,9
"Rž";"Gorenjska";"2017";4,4
"Rž";"Gorenjska";"2018";3,1
"Rž";"Gorenjska";"2019";3,2
"Rž";"Primorsko-notranjska";"2010";4,9
"Rž";"Primorsko-notranjska";"2011";5,2
"Rž";"Primorsko-notranjska";"2012";4,9
"Rž";"Primorsko-notranjska";"2013";4
"Rž";"Primorsko-notranjska";"2014";4,5
"Rž";"Primorsko-notranjska";"2015";3,5
"Rž";"Primorsko-notranjska";"2016";3,8
"Rž";"Primorsko-notranjska";"2017";3,5
"Rž";"Primorsko-notranjska";"2018";3,5
"Rž";"Primorsko-notranjska";"2019";3,8
"Rž";"Goriška";"2011";2,5
"Rž";"Goriška";"2012";2,3
"Rž";"Goriška";"2013";3
"Rž";"Goriška";"2014";3,9
"Rž";"Goriška";"2015";3,7
"Rž";"Goriška";"2016";4
"Rž";"Goriška";"2017";4
"Rž";"Goriška";"2018";3,4
"Rž";"Goriška";"2019";3,8
"Rž";"Obalno-kraška";"2010";3,7
"Rž";"Obalno-kraška";"2011";4,8
"Rž";"Obalno-kraška";"2012";3,5
"Rž";"Obalno-kraška";"2013";3,8
"Rž";"Obalno-kraška";"2014";4
"Rž";"Obalno-kraška";"2015";3,8
"Rž";"Obalno-kraška";"2016";3,8
"Rž";"Obalno-kraška";"2017";4
"Rž";"Obalno-kraška";"2018";3,8
"Rž";"Obalno-kraška";"2019";4,3
"Koruza";"Pomurska";"2010";9,1
"Koruza";"Pomurska";"2011";9,6
"Koruza";"Pomurska";"2012";7,5
"Koruza";"Pomurska";"2013";5,6
"Koruza";"Pomurska";"2014";9,2
"Koruza";"Pomurska";"2015";9
"Koruza";"Pomurska";"2016";10
"Koruza";"Pomurska";"2017";7,6
"Koruza";"Pomurska";"2018";9,4
"Koruza";"Pomurska";"2019";9,9
"Koruza";"Podravska";"2010";8,7
"Koruza";"Podravska";"2011";9
"Koruza";"Podravska";"2012";7,4
"Koruza";"Podravska";"2013";5,8
"Koruza";"Podravska";"2014";9,4
"Koruza";"Podravska";"2015";9,4
"Koruza";"Podravska";"2016";9,4
"Koruza";"Podravska";"2017";7,4
"Koruza";"Podravska";"2018";10
"Koruza";"Podravska";"2019";9,2
"Koruza";"Koroška";"2010";7,5
"Koruza";"Koroška";"2011";7,8
"Koruza";"Koroška";"2012";7,5
"Koruza";"Koroška";"2013";4
"Koruza";"Koroška";"2014";7,6
"Koruza";"Koroška";"2015";7,3
"Koruza";"Koroška";"2016";8,6
